Overview|Übersicht
Compare the same cube with edges only, a flat surface, and shading.|Vergleiche denselben Würfel als Kantenmodell, mit flacher Farbe und mit Schattierung.
The Principled BSDF combines material properties in one shader.|Der Principled BSDF verbindet Materialeigenschaften in einem Shader.
Explore one material.|Erkunde ein Material.
Change the surface. Keep the room and lighting fixed.|Verändere die Oberfläche. Raum und Licht bleiben gleich.
Base color|Grundfarbe
Sets the surface color. On metals, it also tints reflections.|Bestimmt die Oberflächenfarbe. Bei Metallen färbt sie auch Reflexionen.
Metallic|Metallisch
0 is a non-metal; 1 is a metal. Intermediate values blend the two.|0 bedeutet nichtmetallisch, 1 metallisch. Zwischenwerte mischen beide.
Roughness|Rauheit
Low values create sharp reflections. High values soften them.|Niedrige Werte erzeugen scharfe Reflexionen. Hohe Werte machen sie weich.
Specular intensity|Spiegelungsstärke
Controls reflection strength on non-metals. It has no effect on a fully metallic surface.|Steuert Reflexionen auf Nichtmetallen. Bei vollständig metallischen Oberflächen hat der Regler keine Wirkung.
Drag the sphere to inspect its reflections.|Ziehe die Kugel, um ihre Reflexionen zu betrachten.
Create, edit, and assign materials to your objects.|Erstelle und bearbeite Materialien und weise sie Objekten zu.
How to create/remove shaders?|Materialien erstellen / entfernen
Create a material or remove a material assignment.|Erstelle ein Material oder entferne eine Materialzuweisung.
How to edit shaders?|Materialien bearbeiten
Edit the material properties and inspect the result.|Ändere die Materialeigenschaften und betrachte das Ergebnis.
How to add more materials to one mesh?|Mehrere Materialien auf einem Mesh
Select faces in Edit Mode and assign a material to them.|Wähle Flächen im Edit Mode und weise ihnen ein Material zu.
Bring the scene to life.|Erwecke die Szene zum Leben.
Set keyframes, shape the timing, and connect movement to a path.|Setze Keyframes, gestalte das Timing und verbinde Bewegung mit einem Pfad.
Create and edit keyframes|Keyframes erstellen und bearbeiten
Control the movement|Bewegung steuern
Record a change, then adjust when it happens.|Speichere eine Änderung und passe ihren Zeitpunkt an.
Automatic keyframe creation?|Automatische Keyframes
Enable Auto Keying to record supported changes at the current frame.|Aktiviere Auto Keying, um unterstützte Änderungen im aktuellen Frame aufzuzeichnen.
Manual keyframe creation?|Manuelle Keyframes
Insert keyframes manually for the properties you want to animate.|Setze Keyframes für die Eigenschaften, die du animieren möchtest.
Framerate Settings|Bildrate einstellen
Set the frame rate before planning your animation timing.|Lege die Bildrate fest, bevor du das Timing planst.
Keyframe Adaptation/Duplication/Removal|Keyframes ändern / duplizieren / löschen
Move, duplicate, or delete keyframes to revise the animation.|Verschiebe, dupliziere oder lösche Keyframes, um die Animation zu überarbeiten.
Keyframe Anything|Eigenschaften animieren
Animate a property by setting different values at different frames.|Animiere eine Eigenschaft durch unterschiedliche Werte in verschiedenen Frames.
Animation can affect lights, cameras, textures, particles, modifiers, and materials.|Du kannst Licht, Kameras, Texturen, Partikel, Modifikatoren und Materialien animieren.
Choose interpolation, follow a path, and direct an object toward a target.|Wähle die Interpolation, folge einem Pfad und richte ein Objekt auf ein Ziel aus.
Keyframes Interpolation|Keyframe-Interpolation
Compare interpolation modes, then select the keyframes you want to change.|Vergleiche Interpolationsarten und wähle die zu ändernden Keyframes.
Follow Path|Pfad folgen
Use a path to guide an object’s movement.|Führe die Bewegung eines Objekts entlang eines Pfads.
Track To|Auf Ziel ausrichten
Use Track To to point an object toward a target.|Richte ein Objekt mit Track To auf ein Ziel aus.
Full screen|Vollbild
Fullscreen|Vollbild
Exit full screen|Vollbild verlassen
Open in new tab|In neuem Tab öffnen
Next|Weiter
Back|Zurück
Start again|Neu starten
Click image to continue|Zum Fortfahren auf das Bild klicken
Normals are interpolated across faces, giving the surface a smoother appearance. The geometry stays the same.|Normalen werden zwischen Flächen interpoliert. Die Oberfläche wirkt glatter, die Geometrie bleibt gleich.
Equal distance every frame. The speed stays constant.|Gleicher Abstand in jedem Bild. Die Geschwindigkeit bleibt konstant.
Slow at each end, fast in the middle. Watch it travel there and back.|An beiden Enden langsam, in der Mitte schnell. Beobachte den Hin- und Rückweg.
A small pullback prepares the main action.|Ein kurzes Ausholen bereitet die Hauptaktion vor.
Pass the destination, then settle back.|Über das Ziel hinausbewegen und sanft zurückkehren.
A slow start builds into a firm stop.|Ein langsamer Start führt zu einem deutlichen Stopp.
An arc, deformation, and overshoot give the object a lively character.|Bogen, Verformung und Überschwingen geben dem Objekt einen lebhaften Charakter.
Your curve controls the orange ball. The gray reference stays linear.|Deine Kurve steuert die orangefarbene Kugel. Die graue Referenz bleibt linear.
Duration each way|Dauer pro Richtung
Select the object you want to copy.|Wähle das zu kopierende Objekt.
Right-click and choose Copy Objects.|Klicke rechts und wähle Copy Objects.
Choose Paste Objects to add the copy.|Wähle Paste Objects, um die Kopie einzufügen.
Select an object and choose Delete to remove it.|Wähle ein Objekt und entferne es mit Delete.
Select the objects to parent, with the intended parent selected last.|Wähle die Objekte aus, das übergeordnete Objekt zuletzt.
Open the object context menu and choose the parenting action.|Öffne das Objekt-Kontextmenü und wähle die Parenting-Aktion.
Check the parent–child relationship in the Outliner.|Prüfe die Über- und Unterordnung im Outliner.
Start with the objects you want to organize.|Beginne mit den Objekten, die du ordnen möchtest.
Select the objects that belong together.|Wähle zusammengehörige Objekte.
Open the object context menu.|Öffne das Objekt-Kontextmenü.
Choose Move to Collection.|Wähle Move to Collection.
Choose an existing collection or create a new one.|Wähle eine vorhandene Collection oder erstelle eine neue.
Check the resulting collection in the Outliner.|Prüfe die Collection im Outliner.
Faces form the surfaces.|Flächen bilden die Oberflächen.
Edges connect the vertices.|Kanten verbinden die Eckpunkte.
Vertices define points in space.|Eckpunkte definieren Punkte im Raum.
Select the geometry you want to remove.|Wähle die zu entfernende Geometrie.
Open Delete and choose the element type.|Öffne Delete und wähle den Elementtyp.
Inspect the opening left by the deleted face.|Betrachte die Öffnung nach dem Löschen der Fläche.
Choose the Extrude tool in Edit Mode.|Wähle im Edit Mode das Extrude-Werkzeug.
Select the face to extrude.|Wähle die zu extrudierende Fläche.
Drag the tool handle to extend the face.|Ziehe den Werkzeuggriff, um die Fläche zu erweitern.
Switch to Edit Mode.|Wechsle in den Edit Mode.
Choose the Loop Cut tool.|Wähle das Loop-Cut-Werkzeug.
Hover over an edge to preview the new loop.|Bewege den Zeiger über eine Kante, um die Schleife vorzuschauen.
Click to insert the loop.|Klicke, um die Schleife einzufügen.
Slide the loop into position and confirm.|Verschiebe die Schleife an die gewünschte Position und bestätige.
Choose the Inset tool.|Wähle das Inset-Werkzeug.
Select the faces to inset.|Wähle die einzurückenden Flächen.
Drag inward to create a border inside the selected faces.|Ziehe nach innen, um einen Rand in den ausgewählten Flächen zu erzeugen.
Switch to Edge Select mode.|Wechsle zur Kantenauswahl.
Choose the Bevel tool.|Wähle das Bevel-Werkzeug.
Select the edges to bevel.|Wähle die abzuschrägenden Kanten.
Drag to adjust the bevel width.|Ziehe, um die Breite der Abschrägung einzustellen.
Choose the Knife tool.|Wähle das Knife-Werkzeug.
Click to define the cut, then confirm it.|Klicke, um den Schnitt festzulegen, und bestätige ihn.
Visible edges, without shading.|Sichtbare Kanten ohne Schattierung.
Flat color, without visible edges.|Flache Farbe ohne sichtbare Kanten.
Shading makes the form readable.|Schattierung macht die Form verständlich.
Diffuse reflection scatters light.|Diffuse Reflexion streut Licht.
Specular reflection creates visible reflections.|Spiegelnde Reflexion erzeugt sichtbare Spiegelungen.
Enter fullscreen|Vollbild öffnen
Exit fullscreen|Vollbild verlassen
Fullscreen is unavailable here.|Vollbild ist hier nicht verfügbar.
Open course in a new tab ↗|Kurs in neuem Tab öffnen ↗
← Back|← Zurück
Next →|Weiter →
Next step →|Nächster Schritt →
Start again ↺|Neu starten ↺
Click the image to continue.|Klicke auf das Bild, um fortzufahren.
Use Next to continue through the demonstration.|Klicke auf Weiter, um die nächsten Schritte anzusehen.
Start this demonstration again|Diese Anleitung neu starten
Close prediction|Vorhersage schliessen
The right example accelerates and decelerates. The left keeps a constant speed.|Das rechte Beispiel beschleunigt und bremst ab. Das linke behält seine Geschwindigkeit bei.
The right example uses a more restrained rebound and settle to suggest weight.|Das rechte Beispiel vermittelt Gewicht durch einen gedämpften Rückprall und weniger Nachschwingen.
The right example compresses and stretches. The left keeps its shape.|Das rechte Beispiel staucht und streckt sich. Das linke behält seine Form.
Drag either handle. Arrow keys adjust a focused handle; Shift makes larger steps.|Ziehe einen Griff. Pfeiltasten bewegen den fokussierten Griff; mit Umschalt werden die Schritte grösser.
3D is unavailable on this device. You can still edit and play the curve below.|3D ist auf diesem Gerät nicht verfügbar. Du kannst die Kurve unten trotzdem bearbeiten und abspielen.
Motion Design in Blender — Day 1: Motion Graphics Principles|Motion Design in Blender — Tag 1: Bewegungsprinzipien
Course navigation|Kursnavigation
Chapters|Kapitel
Example A|Beispiel A
Example B|Beispiel B
Editable motion path|Bearbeitbarer Bewegungspfad
First path handle. Drag or use arrow keys.|Erster Pfadgriff. Ziehen oder Pfeiltasten verwenden.
Second path handle. Drag or use arrow keys.|Zweiter Pfadgriff. Ziehen oder Pfeiltasten verwenden.
Interactive material sphere. Drag to rotate.|Interaktive Materialkugel. Zum Drehen ziehen.
Flat and smooth shading comparison. Drag or use arrow keys to rotate.|Vergleich von flacher und glatter Schattierung. Zum Drehen ziehen oder Pfeiltasten verwenden.
